datetime,open,high,low,close,volume,symbol,source
2025-07-30 10:40:00,210.47,210.51,210.45,210.485,7062,AAPL,twelve_data
2025-07-30 10:41:00,210.52,210.55991,210.50999,210.515,109667,AAPL,twelve_data
2025-07-30 10:42:00,210.50999,210.545,210.44,210.53,41092,AAPL,twelve_data
2025-07-30 10:43:00,210.53999,210.565,210.435,210.46001,52215,AAPL,twelve_data
2025-07-30 10:44:00,210.46001,210.47,210.36,210.39,61793,AAPL,twelve_data
2025-07-30 10:45:00,210.39,210.55,210.39,210.53,50892,AAPL,twelve_data
2025-07-30 10:46:00,210.53,210.61,210.35001,210.395,69386,AAPL,twelve_data
2025-07-30 10:47:00,210.39,210.45,210.35001,210.425,46602,AAPL,twelve_data
2025-07-30 10:48:00,210.39999,210.44501,210.37,210.44501,55292,AAPL,twelve_data
2025-07-30 10:49:00,210.45,210.47501,210.4101,210.41499,52817,AAPL,twelve_data
2025-07-30 10:50:00,210.41499,210.53,210.35001,210.50999,47508,AAPL,twelve_data
2025-07-30 10:51:00,210.50999,210.55,210.495,210.55,54455,AAPL,twelve_data
2025-07-30 10:52:00,210.5607,210.66,210.54131,210.595,62470,AAPL,twelve_data
2025-07-30 10:53:00,210.575,210.67999,210.5,210.645,87779,AAPL,twelve_data
2025-07-30 10:54:00,210.61,210.6364,210.58,210.60001,25480,AAPL,twelve_data
2025-07-30 10:55:00,210.59,210.6256,210.52,210.6256,42037,AAPL,twelve_data
2025-07-30 10:56:00,210.63499,210.65559,210.5802,210.5802,35157,AAPL,twelve_data
2025-07-30 10:57:00,210.58501,210.625,210.55499,210.595,30591,AAPL,twelve_data
2025-07-30 10:58:00,210.58,210.60001,210.53,210.58,33642,AAPL,twelve_data
2025-07-30 10:59:00,210.57001,210.59,210.42999,210.42999,50601,AAPL,twelve_data
2025-07-30 11:00:00,210.44,210.575,210.44,210.4987,50389,AAPL,twelve_data
2025-07-30 11:01:00,210.48,210.52,210.38499,210.38499,66900,AAPL,twelve_data
2025-07-30 11:02:00,210.37,210.4001,210.34,210.38,62243,AAPL,twelve_data
2025-07-30 11:03:00,210.38,210.38,210.3,210.33,30750,AAPL,twelve_data
2025-07-30 11:04:00,210.33,210.33,210.23,210.28,57887,AAPL,twelve_data
