datetime,open,high,low,close,volume,dividends,stock splits,symbol
2025-08-07 09:30:00-04:00,218.875,219.52999877929688,216.5800018310547,218.13999938964844,8865547,0.0,0.0,AAPL
2025-08-07 09:35:00-04:00,218.13999938964844,219.85000610351562,217.47000122070312,218.9320068359375,3282872,0.0,0.0,AAPL
2025-08-07 09:40:00-04:00,218.9600067138672,219.68499755859375,218.08999633789062,219.67889404296875,2929835,0.0,0.0,AAPL
2025-08-07 09:45:00-04:00,219.67999267578125,219.8000030517578,218.2100067138672,218.97999572753906,2119154,0.0,0.0,AAPL
2025-08-07 09:50:00-04:00,218.97000122070312,219.1300048828125,218.66000366210938,218.8300018310547,1204764,0.0,0.0,AAPL
2025-08-07 09:55:00-04:00,218.82569885253906,220.3300018310547,218.7100067138672,219.55499267578125,4102820,0.0,0.0,AAPL
2025-08-07 10:00:00-04:00,219.58999633789062,219.99000549316406,218.91000366210938,219.2050018310547,1918798,0.0,0.0,AAPL
2025-08-07 10:05:00-04:00,219.19000244140625,219.2050018310547,218.625,218.6300048828125,1287319,0.0,0.0,AAPL
2025-08-07 10:10:00-04:00,218.6300048828125,218.89999389648438,218.24000549316406,218.3863983154297,1558987,0.0,0.0,AAPL
2025-08-07 10:15:00-04:00,218.3699951171875,218.3699951171875,217.77000427246094,218.10000610351562,1537849,0.0,0.0,AAPL
2025-08-07 10:20:00-04:00,218.11000061035156,218.22120666503906,217.55999755859375,217.7758026123047,1047682,0.0,0.0,AAPL
2025-08-07 10:25:00-04:00,217.77000427246094,218.32000732421875,217.75,218.27000427246094,910029,0.0,0.0,AAPL
2025-08-07 10:30:00-04:00,218.05999755859375,218.7364044189453,217.97999572753906,218.6490020751953,786518,0.0,0.0,AAPL
2025-08-07 10:35:00-04:00,218.64999389648438,218.85000610351562,217.94000244140625,218.3249969482422,896478,0.0,0.0,AAPL
2025-08-07 10:40:00-04:00,218.32350158691406,218.3311004638672,217.9199981689453,218.27000427246094,552209,0.0,0.0,AAPL
2025-08-07 10:45:00-04:00,218.24000549316406,218.55999755859375,217.64999389648438,218.2299041748047,885480,0.0,0.0,AAPL
2025-08-07 10:50:00-04:00,218.23500061035156,218.89999389648438,218.0399932861328,218.88499450683594,962067,0.0,0.0,AAPL
2025-08-07 10:55:00-04:00,218.88999938964844,219.14549255371094,218.47999572753906,219.14549255371094,1326563,0.0,0.0,AAPL
2025-08-07 11:00:00-04:00,219.14500427246094,219.44000244140625,219.0,219.19500732421875,1145252,0.0,0.0,AAPL
2025-08-07 11:05:00-04:00,219.17999267578125,219.36000061035156,218.97000122070312,219.0800018310547,894812,0.0,0.0,AAPL
2025-08-07 11:10:00-04:00,219.39500427246094,219.5,219.16000366210938,219.39500427246094,1128109,0.0,0.0,AAPL
2025-08-07 11:15:00-04:00,219.38999938964844,219.94000244140625,219.2100067138672,219.82000732421875,1325375,0.0,0.0,AAPL
2025-08-07 11:20:00-04:00,219.82000732421875,220.1300048828125,219.47999572753906,219.8300018310547,1241626,0.0,0.0,AAPL
2025-08-07 11:25:00-04:00,219.82000732421875,219.8300018310547,219.39999389648438,219.62899780273438,812822,0.0,0.0,AAPL
2025-08-07 11:30:00-04:00,219.6199951171875,220.0,219.4199981689453,219.88999938964844,976381,0.0,0.0,AAPL
2025-08-07 11:35:00-04:00,219.88999938964844,220.19979858398438,219.77000427246094,219.79989624023438,1069066,0.0,0.0,AAPL
2025-08-07 11:40:00-04:00,219.7100067138672,219.94000244140625,219.58999633789062,219.72999572753906,1520902,0.0,0.0,AAPL
2025-08-07 11:45:00-04:00,219.72999572753906,219.80999755859375,219.52999877929688,219.6199951171875,585535,0.0,0.0,AAPL
2025-08-07 11:50:00-04:00,219.60000610351562,219.97999572753906,219.59500122070312,219.6999053955078,595033,0.0,0.0,AAPL
